target_block,pairs,PrivSemantic,NoPrivSemantic,RandomTeacherSemantic,PrivRandomSegment,PrivRandomBit,PrivWrongTarget,PrivWrongLigand
F8W4B7,4,0.0003164679593360654,0.00016697022460170093,1.1259206140132266e-07,0.00010861756904015101,1.9334537812889927e-05,3.0516411038158006e-05,0.00021143735758260415
O00408,2,0.0016482131793233233,2.001954957860601e-08,1.850856489156346e-07,0.0003819922465797079,5.870812280410676e-05,3.852959711388908e-05,0.0007962321011628241
O60760,9,0.0005617876000234177,1.4461386951782637e-05,1.9301069115321436e-07,0.0001751085297609177,5.469955615890177e-05,1.7928205934377876e-05,0.0004149938644275357
O76074,7,0.0004581552714366726,3.5925662590217016e-08,9.795920805002204e-08,0.00020022401960953035,8.769982012837765e-05,3.977830297558997e-05,0.0004581552714366726
O94925,3,0.00031286767238742117,3.64073494623133e-08,1.6243166233935382e-07,4.594724075804625e-05,2.8111218154058836e-05,0.00020458155660671562,0.00031286767238742117
P00797,2,0.00021884899618679053,3.0224025664925547e-08,5.710708323624528e-08,2.167779361462915e-05,2.2434131296432686e-05,1.7278381922285013e-05,0.00021884899618679053
P01724,1,0.00020010470800207927,2.8022614536733913e-08,5.202102820306299e-07,0.0009023833930190084,4.362673404690802e-05,0.00030913051680643236,0.0001037802873748535
P02768,3,0.0005729481543191384,2.0753015031340205e-08,1.0563234152364674e-07,7.777145034271586e-05,2.4924281738606278e-05,3.69044594487301e-05,0.00031093056839830456
P03147,1,4.446196820403798e-05,2.3347664650380589e-07,9.778099476783147e-08,0.00010415073606452474,2.3088559394857403e-06,2.9161449423872616e-05,2.949171994363473e-05
P03211,1,0.00025947297760764486,1.5710916739810435e-07,3.118104843468671e-07,1.0836129564752864e-05,2.9338343718540256e-05,8.250164241988091e-06,0.00021401822091194988
P05982,1,6.831287768306054e-06,9.57565103956819e-08,7.5528899406687e-08,4.187134211227061e-05,5.483953371750796e-07,0.0003231578148925595,7.098481426482746e-05
P07327,1,0.0005438249102598658,2.0803384750546853e-08,4.3840854038543463e-07,0.003128921400527958,8.00845217983248e-05,0.00023790305063966716,8.179853194407401e-05
P09211,1,5.668446523082092e-05,4.8818700106044103e-08,2.0715961341876153e-07,0.00023825983641763665,6.224910517859636e-07,0.00011905743961201618,0.0004361554803798035
P0AES6,1,0.00025634073135128804,1.9895617398189115e-08,1.3108133682032124e-07,2.1043632793290628e-05,2.265944133514142e-05,1.454901486096134e-05,0.00026826120759263134
P0AEX9,3,0.0001158517048317877,2.3982135779334705e-08,5.8684381263751975e-08,0.00026229203832081474,1.5174632920202584e-06,9.35589818836469e-06,0.0001158517048317877
P10415,3,0.0001041768934968533,5.2520306233090915e-08,8.826306051652732e-08,4.672150628010068e-05,8.970667624079306e-05,9.403077797094948e-05,4.182945290671051e-05
P14174,10,0.00013728844144066598,4.580735280674501e-08,2.787754766545539e-07,0.0005060532015185553,1.8436337211262336e-05,6.122153720402317e-05,0.00019012087467643957
P14324,1,0.0005815818236100747,7.022747617230997e-08,5.125646600139954e-07,0.00013677788803869679,2.7695435743089684e-05,4.1485702549260155e-05,0.0002599039647111056
P15559,1,0.002421516488505399,7.74621901274808e-08,1.0271136510676294e-07,5.5124295153205624e-05,8.321642758212291e-06,0.00011933413468945412,0.0007510656396858957
P16083,2,0.00010201679596153683,1.6362688081595907e-08,1.3198735368086534e-07,0.00011388550900188452,5.656897742749942e-06,1.54277096783364e-05,0.0001439653378398477
P18031,8,0.0007964640226579796,6.492281463117477e-08,2.784756816549846e-07,0.00021119507777155757,3.799234392606392e-05,3.10310486746923e-05,0.0006626132039383376
P18946,1,0.00033287093482686135,0.0005536575842569764,1.5208737829211233e-07,7.374354783346322e-05,5.763978324458843e-05,2.6839924628271214e-05,0.00036649789868543366
